plant_name,sunlight,watering,difficulty,light_hours,indoor_outdoor,humidity,temperature_min_c,temperature_max_c,description
Sedge,medium,Weekly,Medium,4,Both,Medium,10,32,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Sedum,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Shasta Daisy,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Sheesham Tree,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: loamy. Watering: Let soil dry between watering. Fertilizer: Organic.
Silene (catchfly),high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: loamy. Watering: Regular, well-drained soil."
Silver Calathea,low,2x/week,Medium,3,Both,High,10,25,"(Calathea pictura Argentea) Family: Marantaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Silver Lace Fern,low,2x/week,Medium,3,Indoor,High,12,28,(Pteris ensiformis Evergemiensis) Family: Pteridaceae. Origin: Asia. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering.
Silver Ribbon Fern,low,2x/week,Medium,3,Indoor,High,12,28,(Pteris cretica Albo lineata) Family: Pteridaceae. Origin: Cultivar. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering.
Silver Vase,medium,Weekly,Medium,4,Indoor,High,12,30,(Aechmea fatsiata) Family: Bromeliaceae. Origin: Brazil. Climate: Tropical humid. Watering: Water when soil is half dry. Change water in the vase regularly..
Silverbell Tree,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: moist. Watering: Regular, well-drained soil. Fertilizer: Organic."
Snake Plant,low,Every 2 weeks,Medium,3,Indoor,High,10,35,(Sansevieria trifasciata Laurentii) Family: Liliaceae. Origin: South Africa. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering..
Snakes Beard,high,2x/week,Medium,6,Both,High,5,28,"(Ophiopogon japonicus) Family: Liliaceae. Origin: Japan. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Scale."
Snapdragon,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Snowdrop,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Song of India,high,Every 2 weeks,Medium,6,Both,High,10,32,"Song of India is an amazing plant species to keep in your home because of its beautiful variegated leaves. The leaves have creamy yellow and green hues along with a unique striped or spotted pattern. It's a low-maintenance plant, thriving in brigh..."
Soursop,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil."
Speedwell,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Spider Flower,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Spider Plant,low,Weekly,Easy,3,Indoor,Medium,5,28,Spider Plant (Chlorophytum 'Bonnie') is an amazingly versatile and low-maintenance houseplant. It tolerate low to bright indirect light and almost any type of soil. Its unusual growth pattern resembles a spider or a rosette of strap-like foliage t...
Spindle Palm,high,2x/week,Medium,6,Indoor,High,10,35,"(Hyophorbe verschaffeltii) Family: Arecaceae. Origin: Rodrigue Island. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Mealy bug, Scale."
Spineless Yucca,high,2x/week,Medium,6,Indoor,High,12,30,(Yucca elephantipes) Family: Liliaceae. Origin: Mexico. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry..
Spiny Licuala Palm,high,2x/week,Medium,6,Indoor,High,15,30,"(Licuala spinosa) Family: Arecaceae. Origin: Malaysia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Mealy bug, Scale."
Splitleaf Philodendron,low,Every 2 weeks,Medium,3,Indoor,High,12,32,(Monstera deliciosa) Family: Araceae. Origin: Central America. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering..
Spotted Laurel,low,2x/week,Medium,2,Both,High,10,32,"Spotted laurel (Aucuba japonica 'Mr. Goldstrike') is an amazing plant species because of its striking appearance. Its glossy, evergreen leaves consist of yellow spots on a dark green background, making for a beautiful landscape feature all year ro..."
Sprenger's Asparagus Fern,low,Weekly,Medium,3,Both,Medium,10,32,"Sprenger's asparagus fern (Asparagus densiflorus) is an amazing evergreen perennial that is perfect for sunny areas as it often blooms in late spring to summer. It is easy to care for, with arching stems of small, airy green foliage, and tiny whit..."
St. Bernard's Lily,medium,Every 2 weeks,Easy,4,Both,Medium,10,32,"St. Bernard’s Lily (Chlorophytum amaniense) is an amazing plant species that's native to East Africa. It's a perennial, and it grows in dense tufts of long, green, strappy leaves with showy, pure white flowers. Its striking color combination and u..."
Staghorn Fern,low,2x/week,Medium,3,Indoor,High,5,30,(Platycerium bifurcatum) Family: Polypodiaceae. Origin: Australia. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Stalked Aeonium,high,Weekly,Medium,6,Both,Medium,10,32,"Stalked Aeonium, or Aeonium undulatum, is an amazing succulent species with its showy yellow blooms and striking foliage. Its bright purple-green foliage has stout stems that produce a neat rosette pattern, while the yellow flowers appear in winte..."
Star Jasmine,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Stevia,medium,Weekly,Medium,4,Both,Medium,10,32,Growth rate: slow. Soil: well-drained. Watering: Water weekly. Fertilizer: Organic.
Stiped Calathea,low,2x/week,Medium,3,Both,High,10,25,"(Calathea ornata Rosea lineata) Family: Marantaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Strawberry,high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: moderate. Soil: sandy. Watering: Regular, well-drained soil. Fertilizer: Organic."
Strawberry Plant,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
String of Pearls,high,Every 2 weeks,Medium,6,Indoor,Low,15,28,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Striped Dracaena,low,Weekly,Medium,3,Both,Medium,10,30,Striped Dracaena (Dracaena fragrans (Deremensis Group) 'Lemon Lime') is a fantastic plant for adding eye-catching texture to the home or office. Its impressive evergreen foliage forms an attractive arching pattern featuring cream and lime green st...
Stromante,medium,2x/week,Medium,4,Both,High,10,25,"(Calathea stromata) Family: Marantaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Succulent,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Succulents (general),high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Sugarcane,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Sunflower,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Swedish Ivy,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Sweet Alyssum,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Sweet Basil,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Sweet Pea,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: loamy. Watering: Water weekly. Fertilizer: Balanced.
Sweet Potato Vine,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Sweet William,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Organic.
Tailflower,medium,Every 2 weeks,Medium,4,Indoor,High,18,22,"(Anthurium X) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Spider mite, Mealy bug, Aphid."
Tansy,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: loamy. Watering: Regular, moist soil."
Taro,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Organic."
Tarragon,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Teak,high,Weekly,Medium,6,Outdoor,Medium,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Low-nitrogen."
Themeda (kangaroo Grass),high,Weekly,Easy,6,Outdoor,Low,5,35,"Growth rate: fast. Soil: sandy. Watering: Regular, moist soil. Fertilizer: Organic."
Thread Agave,high,Every 2 weeks,Medium,6,Indoor,High,5,35,"(Agave filifera) Family: Amaryllidaceae. Origin: Mexico. Climate: Arid Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Scale, Mealy bug."
Thyme,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Organic.
Tiger Lily,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, well-drained soil. Fertilizer: Organic."
Toad Lily,medium,Weekly,Medium,4,Both,High,10,32,Growth rate: slow. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Tobacco Plant,high,Weekly,Easy,6,Outdoor,Medium,5,35,"Growth rate: fast. Soil: loamy. Watering: Regular, well-drained soil. Fertilizer: Balanced."
Tomato,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Regular Watering. Fertilizer: Organic.
Trailing Snapdragon,high,Weekly,Easy,6,Both,Medium,10,32,"Trailing snapdragon is a truly amazing species! With gorgeous blooms of lavender or white, it will add beauty to any garden. It is also resilient and easy to care for as it doesn't need a lot of water, but can tolerate drought conditions. The bran..."
Tree Cereus,high,Every 2 weeks,Medium,6,Indoor,High,5,35,"(Cereus peruvianus) Family: Cactaceae. Origin: Brazil. Climate: Arid Tropical. Watering: Water only when dry or when soil is half dry.. Watch for: Scale, Mealy bug."
Tree Maindenhair Fern,high,2x/week,Medium,6,Indoor,High,5,30,"(Didymochlaena truncatula) Family: Dryopteridaceae. Origin: South America. Climate: Tropical humid. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Scale."
Tricolor Peperomia,low,2x/week,Medium,3,Both,High,10,32,(Peperomia clusiifolia) Family: Piperaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Tuberose,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Regular Watering. Fertilizer: Organic.
Tuberose (polianthes),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: moderate. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Organic."
Tulip,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Low-nitrogen.
Tulsi (holy Basil),high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Balanced.
Umbella Plant,high,2x/week,Medium,6,Indoor,High,12,28,"(Schefflera actinophylla Amate) Family: Araliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Umbrella Plant,medium,Weekly,Easy,4,Both,Medium,10,32,"The umbrella plant (Cyperus alternifolius 'Variegatus') is a truly amazing species. Not only is it incredibly beautiful, with its tufts of bright green leaves with thin white ribs, but its unusual umbrella-like shape gives it a truly unique look. ..."
Urn Plant,medium,Weekly,Medium,4,Both,High,10,32,The urn plant (Aechmea fasciata) is an amazing species because of its striking foliage and interesting growth habit. It is one of the few bromeliads that produces structural leaves in a rosette pattern and colorful flower spikes. Its evergreen lea...
Variegated Balfour Aralia,high,2x/week,Medium,6,Indoor,High,12,30,"(Polyscias pinnata Marginata) Family: Araliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Variegated Carabbean Agave,high,Every 2 weeks,Medium,6,Indoor,High,5,35,"(Agave angustilolia Marginata) Family: Amaryllidaceae. Origin: India. Climate: Tropical. Watering: Water only when the soil is dry. Must be dry between watering. Watch for: Scale, Mealy bug."
Variegated Euphorbia,high,Every 2 weeks,Medium,6,Indoor,High,12,35,"(Euphorbia ammack) Family: Euphorbiaceae. Origin: Africa. Climate: Arid Tropical. Watering: Must be dry between watering. Water only when dry.. Watch for: Mealy bug, White fly."
Variegated Lily Turf,high,2x/week,Medium,6,Both,High,8,30,"(Liriope muscari Variegata) Family: Liliaceae. Origin: Japan. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Scale."
Velvet Calathea,low,2x/week,Medium,3,Both,High,10,25,"(Calathea rufibarba) Family: Marantaceae. Origin: Brazil. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Velvet Leaf Vine,medium,2x/week,Medium,4,Indoor,High,18,28,(Philodendron micans) Family: Araceae. Origin: Dominica. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Venus Fly Trap,high,Weekly,Easy,6,Both,Medium,10,32,The Venus fly trap is an amazing plant species with a unique mechanism for catching prey. This carnivorous plant’s leaves snap shut with startling speed when an unfortunate insect wanders inside. The inside of the Venus fly trap is lined with hair...
Verbena,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Veronica,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water weekly. Fertilizer: Low-nitrogen.
Viola,high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Violet,high,Weekly,Easy,6,Indoor,High,15,28,"Growth rate: moderate. Soil: moist. Watering: Regular, moist soil. Fertilizer: Organic."
Wandering Jew,high,Weekly,Easy,6,Indoor,Medium,15,28,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Water Lily,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: loamy. Watering: Regular, moist soil."
Wattle,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil feels dry.
Wax Begonia,low,Weekly,Medium,3,Indoor,Medium,15,28,"The wax begonia (Begonia semperflorens-cultorum 'Harmony Scarlet') is an amazing plant species with remarkable benefits. It's glossy, dark green leaves with red accents are stunning and make for vibrant plant displays. This evergreen variety is to..."
Wax Plant,medium,Every 2 weeks,Medium,4,Indoor,High,12,28,"(Hoya carnosa Exotica) Family: Asclepiadaceae. Origin: Cultivar. Climate: Tropical. Watering: Water when soil is half dry. Can be dry between watering.. Watch for: Mealy bug, Thrips."
Weeping Fig,medium,Weekly,Easy,4,Indoor,High,10,30,"The Weeping Fig (Ficus benjamina) is an amazing plant species that truly lives up to its name. With its signature weeping branches, lush, dark green foliage and long life span, it will add beauty and life to any space indoors or outdoors. Not only..."
White Bird of Paradise,high,2x/week,Medium,6,Indoor,High,12,30,"(Strelitzia nicolai) Family: Strelitziaceae. Origin: South Africa. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug."
White Pothos,low,2x/week,Medium,3,Indoor,High,12,30,(Epipremnum aureum) Family: Araceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Willow Ficus,high,2x/week,Medium,6,Indoor,High,10,30,"(Ficus maclellandii Alii) Family: Moraceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug, Scale."
Willow Fig Tree,high,2x/week,Medium,6,Indoor,High,10,30,"(Ficus maclellandii) Family: Moraceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug, Scale."
Wisteria,high,Weekly,Medium,6,Outdoor,High,5,35,"Growth rate: slow. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Yarrow,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Water when soil is dry. Fertilizer: Balanced.
Yellow Hawaiian Elf,high,2x/week,Medium,6,Indoor,High,12,30,"(Schefflera arboricola Trinette) Family: Araliaceae. Origin: Cultivar. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Aphid, Mealy bug."
Yellow Malaysian Dracaena,low,2x/week,Medium,3,Indoor,High,12,30,(Dracaena reflexa) Family: Liliaceae. Origin: India. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
Yew,medium,Every 2 weeks,Medium,4,Both,Low,10,32,Growth rate: slow. Soil: loamy. Watering: Water when topsoil is dry. Fertilizer: Balanced.
Yucca,high,Every 2 weeks,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water when topsoil is dry. Fertilizer: Organic.
Zea Mays (corn),high,Weekly,Easy,6,Outdoor,High,5,35,Growth rate: fast. Soil: loamy. Watering: Keep soil consistently moist. Fertilizer: Low-nitrogen.
Zebra Grass,medium,Weekly,Easy,4,Both,High,10,32,Growth rate: moderate. Soil: well-drained. Watering: Keep soil consistently moist. Fertilizer: Low-nitrogen.
Zebra Plant,low,Weekly,Medium,2,Both,Medium,10,32,"The zebra plant (Aphelandra squarrosa) is an amazing species for many reasons. It is an evergreen perennial shrub native to tropical regions of America, with a unique and beautiful foliage that is composed of mid-green leaves with bold, yellow-cen..."
Zephyranthes (rain Lily),high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: acidic. Watering: Regular, moist soil. Fertilizer: Balanced."
Zinnia,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Water weekly. Fertilizer: Balanced.
Zoysia Grass,high,Weekly,Medium,6,Outdoor,Low,5,35,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Organic.
Zucchini,high,Weekly,Easy,6,Outdoor,High,5,35,"Growth rate: fast. Soil: well-drained. Watering: Regular, moist soil. Fertilizer: Balanced."
Zz Plant,low,2x/week,Medium,3,Indoor,High,12,30,(Zamioculcas zamifolia) Family: Araceae. Origin: South Africa. Climate: Tropical. Watering: Keep moist between watering. Water when soil is half dry..
